id_alumno,colegio,dia_horario,num_pagos_atrasados,monto_total_atrasado,mes_mas_antiguo_atrasado,mes_mas_reciente_atrasado,meses_de_antiguedad
A0046,Colegio B,Mar-Jue 6:00pm,7,3850.0,2024-06,2025-07,26
A0061,Colegio A,Lun-Mie 4:00pm,7,3850.0,2024-06,2025-08,26
A0075,Colegio B,Mar-Jue 4:00pm,6,3300.0,2024-05,2025-04,27
A0079,Colegio A,Lun-Mie 6:00pm,5,2750.0,2024-09,2025-05,23
A0016,Colegio B,Mar-Jue 4:00pm,4,2200.0,2024-08,2025-04,24
A0043,Colegio A,Lun-Mie 4:00pm,4,2200.0,2024-08,2025-07,24
A0053,Colegio B,Mar-Jue 6:00pm,4,2200.0,2024-07,2025-04,25
A0065,Colegio A,Lun-Mie 6:00pm,4,2200.0,2024-08,2024-12,24
A0073,Colegio B,Sabado 11:00am,4,2200.0,2024-05,2025-05,27
A0081,Colegio A,Lun-Mie 4:00pm,4,2200.0,2024-10,2025-07,22
A0103,Colegio A,Lun-Mie 4:00pm,4,2200.0,2024-12,2025-07,20
A0113,Colegio B,Mar-Jue 6:00pm,4,2200.0,2024-10,2025-08,22
A0120,Colegio B,Mar-Jue 4:00pm,4,2200.0,2024-09,2025-01,23
A0017,Colegio B,Mar-Jue 4:00pm,3,1650.0,2024-12,2025-08,20
A0018,Colegio A,Lun-Mie 6:00pm,3,1650.0,2024-11,2025-04,21
A0042,Colegio B,Sabado 11:00am,3,1650.0,2025-02,2025-06,18
A0058,Colegio A,Sabado 10:00am,3,1650.0,2024-12,2025-08,20
A0060,Colegio A,Lun-Mie 4:00pm,3,1650.0,2024-09,2024-12,23
A0064,Colegio B,Sabado 11:00am,3,1650.0,2024-12,2025-02,20
A0080,Colegio B,Mar-Jue 4:00pm,3,1650.0,2025-03,2025-08,17
A0122,Colegio B,Sabado 11:00am,3,1650.0,2024-04,2025-08,28
A0125,Colegio B,Sabado 11:00am,3,1650.0,2024-09,2025-06,23
A0126,Colegio A,Sabado 10:00am,3,1650.0,2024-06,2025-08,26
A0127,Colegio B,Mar-Jue 6:00pm,3,1650.0,2025-02,2025-07,18
A0128,Colegio B,Sabado 11:00am,3,1650.0,2024-10,2025-05,22
A0001,Colegio A,Lun-Mie 4:00pm,2,1100.0,2025-03,2025-05,17
A0008,Colegio B,Mar-Jue 4:00pm,2,1100.0,2024-11,2025-03,21
A0012,Colegio A,Lun-Mie 6:00pm,2,1100.0,2025-03,2025-07,17
A0013,Colegio B,Mar-Jue 4:00pm,2,1100.0,2024-11,2025-04,21
A0014,Colegio B,Mar-Jue 6:00pm,2,1100.0,2024-07,2025-05,25
A0020,Colegio A,Lun-Mie 6:00pm,2,1100.0,2024-11,2025-04,21
A0037,Colegio B,Sabado 11:00am,2,1100.0,2024-04,2024-06,28
A0038,Colegio A,Lun-Mie 6:00pm,2,1100.0,2024-12,2025-06,20
A0040,Colegio B,Mar-Jue 4:00pm,2,1100.0,2025-05,2025-06,15
A0041,Colegio A,Lun-Mie 6:00pm,2,1100.0,2024-04,2024-10,28
A0050,Colegio A,Lun-Mie 6:00pm,2,1100.0,2024-10,2025-05,22
A0051,Colegio B,Mar-Jue 6:00pm,2,1100.0,2025-04,2025-06,16
A0052,Colegio A,Lun-Mie 4:00pm,2,1100.0,2024-03,2025-01,29
A0056,Colegio A,Lun-Mie 4:00pm,2,1100.0,2025-02,2025-03,18
A0063,Colegio A,Lun-Mie 6:00pm,2,1100.0,2024-11,2025-06,21
A0069,Colegio A,Lun-Mie 4:00pm,2,1100.0,2024-07,2025-06,25
A0078,Colegio B,Mar-Jue 4:00pm,2,1100.0,2024-08,2024-12,24
A0084,Colegio B,Mar-Jue 4:00pm,2,1100.0,2025-05,2025-08,15
A0086,Colegio B,Mar-Jue 6:00pm,2,1100.0,2025-02,2025-08,18
A0095,Colegio B,Sabado 11:00am,2,1100.0,2024-06,2025-07,26
A0099,Colegio B,Mar-Jue 4:00pm,2,1100.0,2025-05,2025-07,15
A0106,Colegio A,Lun-Mie 6:00pm,2,1100.0,2025-03,2025-06,17
A0108,Colegio B,Mar-Jue 6:00pm,2,1100.0,2025-01,2025-06,19
A0109,Colegio A,Lun-Mie 4:00pm,2,1100.0,2025-04,2025-06,16
A0110,Colegio A,Lun-Mie 6:00pm,2,1100.0,2025-04,2025-05,16
A0118,Colegio B,Mar-Jue 6:00pm,2,1100.0,2025-01,2025-02,19
A0119,Colegio A,Lun-Mie 6:00pm,2,1100.0,2025-05,2025-07,15
A0002,Colegio A,Lun-Mie 4:00pm,1,550.0,2024-05,2024-05,27
A0004,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-01,2025-01,19
A0006,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-07,2025-07,13
A0007,Colegio B,Mar-Jue 4:00pm,1,550.0,2024-11,2024-11,21
A0010,Colegio B,Sabado 11:00am,1,550.0,2025-07,2025-07,13
A0011,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-02,2025-02,18
A0021,Colegio A,Lun-Mie 4:00pm,1,550.0,2024-11,2024-11,21
A0025,Colegio B,Sabado 11:00am,1,550.0,2025-08,2025-08,12
A0027,Colegio A,Sabado 10:00am,1,550.0,2025-05,2025-05,15
A0028,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-05,2025-05,15
A0030,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-07,2025-07,13
A0031,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-02,2025-02,18
A0044,Colegio A,Lun-Mie 4:00pm,1,550.0,2024-07,2024-07,25
A0045,Colegio B,Mar-Jue 4:00pm,1,550.0,2025-07,2025-07,13
A0047,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-07,2025-07,13
A0049,Colegio B,Sabado 11:00am,1,550.0,2025-05,2025-05,15
A0054,Colegio A,Lun-Mie 4:00pm,1,550.0,2025-02,2025-02,18
A0055,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-04,2025-04,16
A0066,Colegio B,Sabado 11:00am,1,550.0,2025-05,2025-05,15
A0067,Colegio A,Sabado 10:00am,1,550.0,2024-08,2024-08,24
A0068,Colegio B,Mar-Jue 4:00pm,1,550.0,2025-02,2025-02,18
A0071,Colegio A,Lun-Mie 4:00pm,1,550.0,2025-06,2025-06,14
A0076,Colegio B,Sabado 11:00am,1,550.0,2025-07,2025-07,13
A0083,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-08,2025-08,12
A0088,Colegio B,Sabado 11:00am,1,550.0,2025-06,2025-06,14
A0091,Colegio B,Sabado 11:00am,1,550.0,2025-07,2025-07,13
A0094,Colegio B,Sabado 11:00am,1,550.0,2025-03,2025-03,17
A0096,Colegio B,Sabado 11:00am,1,550.0,2025-01,2025-01,19
A0097,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-03,2025-03,17
A0098,Colegio B,Mar-Jue 4:00pm,1,550.0,2025-05,2025-05,15
A0100,Colegio B,Sabado 11:00am,1,550.0,2025-03,2025-03,17
A0101,Colegio B,Sabado 11:00am,1,550.0,2025-02,2025-02,18
A0104,Colegio B,Mar-Jue 4:00pm,1,550.0,2025-04,2025-04,16
A0107,Colegio A,Lun-Mie 6:00pm,1,550.0,2025-06,2025-06,14
A0111,Colegio A,Lun-Mie 4:00pm,1,550.0,2025-08,2025-08,12
A0112,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-07,2025-07,13
A0117,Colegio B,Mar-Jue 4:00pm,1,550.0,2024-11,2024-11,21
A0121,Colegio A,Lun-Mie 4:00pm,1,550.0,2025-03,2025-03,17
A0130,Colegio B,Mar-Jue 6:00pm,1,550.0,2025-07,2025-07,13
