id_alumno,categoria_edad,colegio,id_grupo,fecha_inscripcion,estado,fecha_baja,motivo_baja
A0001,Juvenil (10-14),Colegio A,G1,2025-03-15,baja,2025-06-24,Mudanza a otra academia
A0002,Infantil (5-9),Colegio A,G1,2024-04-17,baja,2024-05-15,Mudanza a otra academia
A0003,Infantil (5-9),Colegio B,G6,2025-02-23,activo,,
A0004,Infantil (5-9),Colegio B,G5,2024-07-21,activo,,
A0005,Infantil (5-9),Colegio A,G2,2025-02-21,activo,,
A0006,Infantil (5-9),Colegio A,G2,2025-07-04,activo,,
A0007,Infantil (5-9),Colegio B,G4,2024-04-19,baja,2025-01-02,Mudanza a otra academia
A0008,Infantil (5-9),Colegio B,G4,2024-04-10,baja,2025-03-07,Desinterés del alumno
A0009,Juvenil (10-14),Colegio B,G6,2024-04-05,baja,2024-06-03,Conflicto de horario con otra actividad
A0010,Infantil (5-9),Colegio B,G6,2025-05-02,activo,,
A0011,Infantil (5-9),Colegio A,G2,2025-02-07,baja,2025-08-06,Costo / situación económica
A0012,Juvenil (10-14),Colegio A,G2,2024-11-29,activo,,
A0013,Infantil (5-9),Colegio B,G4,2024-07-17,activo,,
A0014,Juvenil (10-14),Colegio B,G5,2024-06-21,activo,,
A0015,Adulto (15+),Colegio A,G1,2024-06-26,activo,,
A0016,Adulto (15+),Colegio B,G4,2024-07-16,baja,2025-05-17,Desinterés del alumno
A0017,Infantil (5-9),Colegio B,G4,2024-09-19,activo,,
A0018,Juvenil (10-14),Colegio A,G2,2024-07-14,baja,2025-04-30,Desinterés del alumno
A0019,Juvenil (10-14),Colegio B,G4,2025-06-03,activo,,
A0020,Infantil (5-9),Colegio A,G2,2024-11-16,activo,,
A0021,Juvenil (10-14),Colegio A,G1,2024-05-18,activo,,
A0022,Juvenil (10-14),Colegio B,G4,2024-12-31,baja,2025-01-09,Costo / situación económica
A0023,Juvenil (10-14),Colegio B,G5,2025-03-20,activo,,
A0024,Juvenil (10-14),Colegio A,G1,2024-07-29,activo,,
A0025,Juvenil (10-14),Colegio B,G6,2025-05-23,activo,,
