id_asistencia,id_alumno,id_grupo,fecha_clase,presente
1,A0001,G1,2025-03-15,si
2,A0001,G1,2025-03-15,si
3,A0001,G1,2025-03-22,si
4,A0001,G1,2025-03-22,si
5,A0001,G1,2025-03-29,si
6,A0001,G1,2025-03-29,si
7,A0001,G1,2025-04-05,si
8,A0001,G1,2025-04-05,no
9,A0001,G1,2025-04-12,si
10,A0001,G1,2025-04-12,si
11,A0001,G1,2025-04-19,si
12,A0001,G1,2025-04-19,si
13,A0001,G1,2025-04-26,si
14,A0001,G1,2025-04-26,si
15,A0001,G1,2025-05-03,no
16,A0001,G1,2025-05-03,si
17,A0001,G1,2025-05-10,si
18,A0001,G1,2025-05-10,si
19,A0001,G1,2025-05-17,si
20,A0001,G1,2025-05-17,si
21,A0001,G1,2025-05-24,si
22,A0001,G1,2025-05-24,no
23,A0001,G1,2025-05-31,si
24,A0001,G1,2025-05-31,no
25,A0001,G1,2025-06-07,no
26,A0001,G1,2025-06-07,no
27,A0001,G1,2025-06-14,no
28,A0001,G1,2025-06-14,si
29,A0001,G1,2025-06-21,no
30,A0001,G1,2025-06-21,si
31,A0002,G1,2024-04-17,no
32,A0002,G1,2024-04-17,si
33,A0002,G1,2024-04-24,si
34,A0002,G1,2024-04-24,si
35,A0002,G1,2024-05-01,no
36,A0002,G1,2024-05-01,no
37,A0002,G1,2024-05-08,no
38,A0002,G1,2024-05-08,no
39,A0002,G1,2024-05-15,si
40,A0002,G1,2024-05-15,si
41,A0003,G6,2025-02-23,si
42,A0003,G6,2025-03-02,si
43,A0003,G6,2025-03-09,si
44,A0003,G6,2025-03-16,si
45,A0003,G6,2025-03-23,si
46,A0003,G6,2025-03-30,si
47,A0003,G6,2025-04-06,si
48,A0003,G6,2025-04-13,si
49,A0003,G6,2025-04-20,si
50,A0003,G6,2025-04-27,si
51,A0003,G6,2025-05-04,si
52,A0003,G6,2025-05-11,si
53,A0003,G6,2025-05-18,si
54,A0003,G6,2025-05-25,si
55,A0003,G6,2025-06-01,no
56,A0003,G6,2025-06-08,si
57,A0003,G6,2025-06-15,si
58,A0003,G6,2025-06-22,si
59,A0003,G6,2025-06-29,si
60,A0003,G6,2025-07-06,si
61,A0003,G6,2025-07-13,si
62,A0003,G6,2025-07-20,si
63,A0003,G6,2025-07-27,si
64,A0003,G6,2025-08-03,no
65,A0003,G6,2025-08-10,si
66,A0003,G6,2025-08-17,si
67,A0004,G5,2024-07-21,si
68,A0004,G5,2024-07-21,si
69,A0004,G5,2024-07-28,si
70,A0004,G5,2024-07-28,si
71,A0004,G5,2024-08-04,si
72,A0004,G5,2024-08-04,no
73,A0004,G5,2024-08-11,si
74,A0004,G5,2024-08-11,si
75,A0004,G5,2024-08-18,si
76,A0004,G5,2024-08-18,si
77,A0004,G5,2024-08-25,si
78,A0004,G5,2024-08-25,si
79,A0004,G5,2024-09-01,si
80,A0004,G5,2024-09-01,si
81,A0004,G5,2024-09-08,si
82,A0004,G5,2024-09-08,no
83,A0004,G5,2024-09-15,si
84,A0004,G5,2024-09-15,si
85,A0004,G5,2024-09-22,si
86,A0004,G5,2024-09-22,si
87,A0004,G5,2024-09-29,si
88,A0004,G5,2024-09-29,si
89,A0004,G5,2024-10-06,si
90,A0004,G5,2024-10-06,no
91,A0004,G5,2024-10-13,si
92,A0004,G5,2024-10-13,no
93,A0004,G5,2024-10-20,si
94,A0004,G5,2024-10-20,si
95,A0004,G5,2024-10-27,si
96,A0004,G5,2024-10-27,si
97,A0004,G5,2024-11-03,si
98,A0004,G5,2024-11-03,si
99,A0004,G5,2024-11-10,si
100,A0004,G5,2024-11-10,no
101,A0004,G5,2024-11-17,si
102,A0004,G5,2024-11-17,si
103,A0004,G5,2024-11-24,si
104,A0004,G5,2024-11-24,si
105,A0004,G5,2024-12-01,si
106,A0004,G5,2024-12-01,si
107,A0004,G5,2024-12-08,si
108,A0004,G5,2024-12-08,si
109,A0004,G5,2024-12-15,no
110,A0004,G5,2024-12-15,si
111,A0004,G5,2024-12-22,si
112,A0004,G5,2024-12-22,si
113,A0004,G5,2024-12-29,si
114,A0004,G5,2024-12-29,si
115,A0004,G5,2025-01-05,no
116,A0004,G5,2025-01-05,si
117,A0004,G5,2025-01-12,si
118,A0004,G5,2025-01-12,si
119,A0004,G5,2025-01-19,si
120,A0004,G5,2025-01-19,si
121,A0004,G5,2025-01-26,si
122,A0004,G5,2025-01-26,si
123,A0004,G5,2025-02-02,si
124,A0004,G5,2025-02-02,si
125,A0004,G5,2025-02-09,si
126,A0004,G5,2025-02-09,si
127,A0004,G5,2025-02-16,si
128,A0004,G5,2025-02-16,si
129,A0004,G5,2025-02-23,si
130,A0004,G5,2025-02-23,no
131,A0004,G5,2025-03-02,si
132,A0004,G5,2025-03-02,si
133,A0004,G5,2025-03-09,si
134,A0004,G5,2025-03-09,si
135,A0004,G5,2025-03-16,si
136,A0004,G5,2025-03-16,si
137,A0004,G5,2025-03-23,si
138,A0004,G5,2025-03-23,si
139,A0004,G5,2025-03-30,si
140,A0004,G5,2025-03-30,si
141,A0004,G5,2025-04-06,si
142,A0004,G5,2025-04-06,si
143,A0004,G5,2025-04-13,si
144,A0004,G5,2025-04-13,si
145,A0004,G5,2025-04-20,si
146,A0004,G5,2025-04-20,si
147,A0004,G5,2025-04-27,no
148,A0004,G5,2025-04-27,si
149,A0004,G5,2025-05-04,si
150,A0004,G5,2025-05-04,si
151,A0004,G5,2025-05-11,si
152,A0004,G5,2025-05-11,si
153,A0004,G5,2025-05-18,si
154,A0004,G5,2025-05-18,si
155,A0004,G5,2025-05-25,si
156,A0004,G5,2025-05-25,no
157,A0004,G5,2025-06-01,si
158,A0004,G5,2025-06-01,si
159,A0004,G5,2025-06-08,si
160,A0004,G5,2025-06-08,si
161,A0004,G5,2025-06-15,si
162,A0004,G5,2025-06-15,no
163,A0004,G5,2025-06-22,si
164,A0004,G5,2025-06-22,si
165,A0004,G5,2025-06-29,si
166,A0004,G5,2025-06-29,si
167,A0004,G5,2025-07-06,si
168,A0004,G5,2025-07-06,si
169,A0004,G5,2025-07-13,si
170,A0004,G5,2025-07-13,si
171,A0004,G5,2025-07-20,si
172,A0004,G5,2025-07-20,si
173,A0004,G5,2025-07-27,no
174,A0004,G5,2025-07-27,si
175,A0004,G5,2025-08-03,si
176,A0004,G5,2025-08-03,no
177,A0004,G5,2025-08-10,si
178,A0004,G5,2025-08-10,si
179,A0004,G5,2025-08-17,si
180,A0004,G5,2025-08-17,si
181,A0005,G2,2025-02-21,si
182,A0005,G2,2025-02-21,si
183,A0005,G2,2025-02-28,si
184,A0005,G2,2025-02-28,si
185,A0005,G2,2025-03-07,si
186,A0005,G2,2025-03-07,si
187,A0005,G2,2025-03-14,si
188,A0005,G2,2025-03-14,si
189,A0005,G2,2025-03-21,si
190,A0005,G2,2025-03-21,si
191,A0005,G2,2025-03-28,si
192,A0005,G2,2025-03-28,no
193,A0005,G2,2025-04-04,si
194,A0005,G2,2025-04-04,si
195,A0005,G2,2025-04-11,no
196,A0005,G2,2025-04-11,si
197,A0005,G2,2025-04-18,si
198,A0005,G2,2025-04-18,si
199,A0005,G2,2025-04-25,si
200,A0005,G2,2025-04-25,si
201,A0005,G2,2025-05-02,si
202,A0005,G2,2025-05-02,si
203,A0005,G2,2025-05-09,si
204,A0005,G2,2025-05-09,si
205,A0005,G2,2025-05-16,si
206,A0005,G2,2025-05-16,no
207,A0005,G2,2025-05-23,si
208,A0005,G2,2025-05-23,si
209,A0005,G2,2025-05-30,si
210,A0005,G2,2025-05-30,si
211,A0005,G2,2025-06-06,si
212,A0005,G2,2025-06-06,si
213,A0005,G2,2025-06-13,si
214,A0005,G2,2025-06-13,si
215,A0005,G2,2025-06-20,si
216,A0005,G2,2025-06-20,si
217,A0005,G2,2025-06-27,si
218,A0005,G2,2025-06-27,no
219,A0005,G2,2025-07-04,si
220,A0005,G2,2025-07-04,si
221,A0005,G2,2025-07-11,no
222,A0005,G2,2025-07-11,si
223,A0005,G2,2025-07-18,si
224,A0005,G2,2025-07-18,si
225,A0005,G2,2025-07-25,si
226,A0005,G2,2025-07-25,si
227,A0005,G2,2025-08-01,si
228,A0005,G2,2025-08-01,si
229,A0005,G2,2025-08-08,si
230,A0005,G2,2025-08-08,si
231,A0005,G2,2025-08-15,si
232,A0005,G2,2025-08-15,si
233,A0006,G2,2025-07-04,si
234,A0006,G2,2025-07-04,si
235,A0006,G2,2025-07-11,no
236,A0006,G2,2025-07-11,si
237,A0006,G2,2025-07-18,si
238,A0006,G2,2025-07-18,si
239,A0006,G2,2025-07-25,si
240,A0006,G2,2025-07-25,si
241,A0006,G2,2025-08-01,si
242,A0006,G2,2025-08-01,si
243,A0006,G2,2025-08-08,si
244,A0006,G2,2025-08-08,no
245,A0006,G2,2025-08-15,si
246,A0006,G2,2025-08-15,si
247,A0007,G4,2024-04-19,si
248,A0007,G4,2024-04-19,si
249,A0007,G4,2024-04-26,si
250,A0007,G4,2024-04-26,no
251,A0007,G4,2024-05-03,no
252,A0007,G4,2024-05-03,no
253,A0007,G4,2024-05-10,si
254,A0007,G4,2024-05-10,si
255,A0007,G4,2024-05-17,no
256,A0007,G4,2024-05-17,si
257,A0007,G4,2024-05-24,si
258,A0007,G4,2024-05-24,si
259,A0007,G4,2024-05-31,no
260,A0007,G4,2024-05-31,si
261,A0007,G4,2024-06-07,no
262,A0007,G4,2024-06-07,si
263,A0007,G4,2024-06-14,si
264,A0007,G4,2024-06-14,si
265,A0007,G4,2024-06-21,no
266,A0007,G4,2024-06-21,si
267,A0007,G4,2024-06-28,no
268,A0007,G4,2024-06-28,si
269,A0007,G4,2024-07-05,si
270,A0007,G4,2024-07-05,si
271,A0007,G4,2024-07-12,si
272,A0007,G4,2024-07-12,no
273,A0007,G4,2024-07-19,si
274,A0007,G4,2024-07-19,si
275,A0007,G4,2024-07-26,no
276,A0007,G4,2024-07-26,no
277,A0007,G4,2024-08-02,si
278,A0007,G4,2024-08-02,si
279,A0007,G4,2024-08-09,si
280,A0007,G4,2024-08-09,si
281,A0007,G4,2024-08-16,si
282,A0007,G4,2024-08-16,si
283,A0007,G4,2024-08-23,si
284,A0007,G4,2024-08-23,si
285,A0007,G4,2024-08-30,si
286,A0007,G4,2024-08-30,no
287,A0007,G4,2024-09-06,si
288,A0007,G4,2024-09-06,no
289,A0007,G4,2024-09-13,si
