id_pago,id_alumno,mes_pagado,fecha_pago,monto,estatus
1,A0001,2025-03,,550,atrasado
2,A0001,2025-04,2025-04-02,550,pagado
3,A0001,2025-05,,550,atrasado
4,A0001,2025-06,2025-06-05,550,pagado
5,A0002,2024-04,2024-04-08,550,pagado
6,A0002,2024-05,,550,atrasado
7,A0003,2025-02,2025-02-10,550,pagado
8,A0003,2025-03,2025-03-09,550,pagado
9,A0003,2025-04,2025-04-02,550,pagado
10,A0003,2025-05,2025-05-03,550,pagado
11,A0003,2025-06,2025-06-07,550,pagado
12,A0003,2025-07,2025-07-11,550,pagado
13,A0003,2025-08,2025-08-09,550,pagado
14,A0004,2024-07,2024-07-07,550,pagado
15,A0004,2024-08,2024-08-03,550,pagado
16,A0004,2024-09,2024-09-11,550,pagado
17,A0004,2024-10,2024-10-03,550,pagado
18,A0004,2024-11,2024-11-03,550,pagado
19,A0004,2024-12,2024-12-05,550,pagado
20,A0004,2025-01,,550,atrasado
21,A0004,2025-02,2025-02-06,550,pagado
22,A0004,2025-03,2025-03-04,550,pagado
23,A0004,2025-04,2025-04-07,550,pagado
24,A0004,2025-05,2025-05-03,550,pagado
25,A0004,2025-06,2025-06-06,550,pagado
26,A0004,2025-07,2025-07-09,550,pagado
27,A0004,2025-08,2025-08-07,550,pagado
28,A0005,2025-02,2025-02-04,550,pagado
29,A0005,2025-03,2025-03-02,550,pagado
30,A0005,2025-04,2025-04-07,550,pagado
31,A0005,2025-05,2025-05-02,550,pagado
32,A0005,2025-06,2025-06-02,550,pagado
33,A0005,2025-07,2025-07-02,550,pagado
34,A0005,2025-08,2025-08-01,550,pagado
35,A0006,2025-07,,550,atrasado
36,A0006,2025-08,2025-08-08,550,pagado
37,A0007,2024-04,2024-04-01,550,pagado
38,A0007,2024-05,2024-05-07,550,pagado
39,A0007,2024-06,2024-06-03,550,pagado
40,A0007,2024-07,2024-07-09,550,pagado
41,A0007,2024-08,2024-08-11,550,pagado
42,A0007,2024-09,2024-09-02,550,pagado
43,A0007,2024-10,2024-10-10,550,pagado
44,A0007,2024-11,,550,atrasado
45,A0007,2024-12,2024-12-01,550,pagado
46,A0007,2025-01,2025-01-09,550,pagado
47,A0008,2024-04,2024-04-04,550,pagado
48,A0008,2024-05,2024-05-11,550,pagado
49,A0008,2024-06,2024-06-09,550,pagado
50,A0008,2024-07,2024-07-01,550,pagado
51,A0008,2024-08,2024-08-03,550,pagado
52,A0008,2024-09,2024-09-09,550,pagado
