id_alumno,id_torneo,resultado
A0125,T1,Bronce
A0042,T1,Bronce
A0060,T1,Participación
A0081,T1,Plata
A0119,T1,Participación
A0061,T1,Participación
A0021,T1,Participación
A0041,T2,Plata
A0079,T2,Bronce
A0073,T2,Participación
A0126,T2,Plata
A0094,T2,Participación
A0078,T2,Participación
A0059,T2,Plata
A0077,T2,Plata
A0018,T2,Participación
A0075,T2,Participación
A0013,T2,Bronce
A0067,T2,Participación
A0092,T2,Bronce
A0124,T2,Oro
A0061,T2,Bronce
A0047,T2,Oro
A0044,T2,Bronce
A0122,T3,Oro
A0056,T3,Bronce
A0117,T3,Bronce
A0095,T3,Oro
A0052,T3,Bronce
A0035,T3,Participación
A0067,T3,Plata
A0102,T3,Plata
A0119,T3,Bronce
A0018,T3,Plata
A0063,T3,Bronce
A0036,T3,Participación
A0094,T3,Participación
A0128,T3,Bronce
A0081,T3,Oro
A0069,T3,Participación
A0079,T3,Participación
A0113,T3,Oro
A0073,T3,Plata
A0037,T3,Oro
A0040,T3,Bronce
A0043,T3,Bronce
A0042,T3,Bronce
A0089,T4,Oro
A0075,T4,Participación
A0028,T4,Bronce
A0084,T4,Bronce
A0111,T4,Participación
A0050,T4,Bronce
A0058,T4,Bronce
A0026,T4,Bronce
A0069,T4,Bronce
A0118,T4,Participación
A0021,T4,Oro
A0012,T4,Plata
A0016,T4,Plata
A0127,T4,Bronce
A0093,T4,Participación
A0086,T4,Bronce
A0108,T4,Participación
A0090,T4,Bronce
A0121,T4,Plata
A0097,T4,Plata
A0073,T4,Plata
A0015,T4,Oro
A0077,T4,Participación
A0018,T4,Participación
A0096,T4,Participación
A0081,T4,Plata
A0101,T4,Bronce
A0104,T4,Bronce
A0052,T4,Participación
A0020,T5,Plata
A0058,T5,Participación
A0049,T5,Bronce
A0031,T5,Bronce
A0024,T5,Oro
A0127,T5,Bronce
A0048,T5,Participación
A0087,T5,Participación
A0077,T5,Participación
A0039,T5,Oro
A0126,T5,Participación
A0124,T5,Bronce
A0046,T5,Oro
A0104,T5,Oro
A0021,T5,Plata
A0040,T5,Participación
A0122,T5,Participación
A0027,T5,Participación
A0130,T5,Participación
A0037,T5,Plata
A0095,T5,Oro
A0090,T5,Plata
A0114,T5,Plata
A0005,T5,Bronce
A0011,T5,Participación
A0094,T5,Participación
A0093,T5,Oro
A0034,T5,Participación
A0001,T5,Participación
A0119,T5,Oro
A0096,T5,Oro
A0061,T5,Participación
A0107,T5,Bronce
